Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Pteraster tesselatus,Cushion star/Slime star,Present,Kachemak_Bay,Species,369053,"Ives, 1888",Animalia,Echinodermata,Asteroidea,Velatida,Pterasteridae,Pteraster,"Mah, C.L. (2024). World Asteroidea Database. Pteraster tesselatus Ives, 1888. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=369053 on 2024-02-21",2024-02-21,WORMS
Pycnopodia helianthoides,Sunflower star,Present,Kachemak_Bay,Species,240764,"(Brandt, 1835)",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,"Mah, C.L. (2024). World Asteroidea Database. Pycnopodia helianthoides (Brandt, 1835). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240764 on 2024-02-21",2024-02-21,WORMS
Solaster,NA,Present,Kachemak_Bay,Genus,123338,"Forbes, 1839",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,"Mah, C.L. (2024). World Asteroidea Database. Solaster Forbes, 1839. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123338 on 2024-02-21",2024-02-21,WORMS
Solaster dawsoni,Morning sun star,Present,Kachemak_Bay,Species,292720,"Verrill, 1880",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,"Mah, C.L. (2024). World Asteroidea Database. Solaster dawsoni Verrill, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=292720 on 2024-02-21",2024-02-21,WORMS
Solaster endeca,Northern sun star,Present,Kachemak_Bay,Species,124160,"(Linnaeus, 1771)",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,"Mah, C.L. (2024). World Asteroidea Database. Solaster endeca (Linnaeus, 1771). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124160 on 2024-02-21",2024-02-21,WORMS
Solaster stimpsoni,Orange sun star; Stimpson's sun star; Striped sun star,Present,Kachemak_Bay,Species,292729,"Verrill, 1880",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,"Mah, C.L. (2024). World Asteroidea Database. Solaster stimpsoni Verrill, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=292729 on 2024-02-21",2024-02-21,WORMS
Strongylocentrotus droebachiensis,green sea urchin; northern sea urchin; Nothern sea urchin; sea egg,Present,Kachemak_Bay,Species,124321,"(O.F. Müller, 1776)",Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,"Kroh, A.; Mooi, R. (2024). World Echinoidea Database. Strongylocentrotus droebachiensis (O.F. Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124321 on 2024-02-21",2024-02-21,WORMS
Strongylocentrotus pallidus,pale sea urchin; White sea urchin,Present,Kachemak_Bay,Species,124324,"(Sars G.O., 1872)",Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,"Kroh, A.; Mooi, R. (2024). World Echinoidea Database. Strongylocentrotus pallidus (Sars G.O., 1872). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124324 on 2024-02-21",2024-02-21,WORMS
Strongylocentrotus purpuratus,purple sea urchin,Present,Kachemak_Bay,Species,240747,"(Stimpson, 1857)",Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,"Kroh, A.; Mooi, R. (2024). World Echinoidea Database. Strongylocentrotus purpuratus (Stimpson, 1857). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240747 on 2024-02-21",2024-02-21,WORMS
Stylasterias forreri,Fish-eating star,Present,Kachemak_Bay,Species,255062,"(deLoriol, 1887)",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Stylasterias,"Mah, C.L. (2024). World Asteroidea Database. Stylasterias forreri (deLoriol, 1887). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=255062 on 2024-02-21",2024-02-21,WORMS
Acanthodoris nanaimoensis,Nanaimo dorid,Present,Kachemak_Bay,Species,535685,"O'Donoghue, 1921",Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,"MolluscaBase eds. (2024). MolluscaBase. Acanthodoris nanaimoensis O'Donoghue, 1921. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=535685 on 2024-02-21",2024-02-21,WORMS
Acmaea mitra,Pacific white cap limpet; Pacific white tortoiseshell limpet; whitecap limpet,Present,Kachemak_Bay,Species,456582,"Rathke, 1833",Animalia,Mollusca,Gastropoda,NA,Acmaeidae,Acmaea,"MolluscaBase eds. (2024). MolluscaBase. Acmaea mitra Rathke, 1833. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=456582 on 2024-02-21",2024-02-21,WORMS
Adalaria proxima,false doris; yellow false doris,Present,Kachemak_Bay,Species,140629,"(Alder & Hancock, 1854)",Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Adalaria,"MolluscaBase eds. (2024). MolluscaBase. Adalaria proxima (Alder & Hancock, 1854). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140629 on 2024-02-21",2024-02-21,WORMS
Aeolidia papillosa,common grey sea slug; grey sea slug; maned nudibranch; papillose eolis; plumed sea slug; shag-rug aeolis,Present,Kachemak_Bay,Species,138709,"(Linnaeus, 1761)",Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,"MolluscaBase eds. (2024). MolluscaBase. Aeolidia papillosa (Linnaeus, 1761). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138709 on 2024-02-21",2024-02-21,WORMS
Amicula amiculata,NA,Present,Kachemak_Bay,Species,386339,"(Pallas, 1788)",Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Amicula,"MolluscaBase eds. (2024). MolluscaBase. Amicula amiculata (Pallas, 1788). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386339 on 2024-02-21",2024-02-21,WORMS
Amphissa columbiana,Columbian amphissa,Present,Kachemak_Bay,Species,511361,"Dall, 1916",Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,"MolluscaBase eds. (2024). MolluscaBase. Amphissa columbiana Dall, 1916. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=511361 on 2024-02-21",2024-02-21,WORMS
Ancula pacifica,Pacific ancula,Present,Kachemak_Bay,Species,581643,"MacFarland, 1905",Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Ancula,"MolluscaBase eds. (2024). MolluscaBase. Ancula pacifica MacFarland, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=581643 on 2024-02-21",2024-02-21,WORMS
Armina californica,California armina,Present,Kachemak_Bay,Species,558913,"(J. G. Cooper, 1863)",Animalia,Mollusca,Gastropoda,Nudibranchia,Arminidae,Armina,"MolluscaBase eds. (2024). MolluscaBase. Armina californica (J. G. Cooper, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=558913 on 2024-02-21",2024-02-21,WORMS
Astarte esquimalti,Esquimalt astarte/Wavy-line astarte,Present,Kachemak_Bay,Species,423165,"(Baird, 1863)",Animalia,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,"MolluscaBase eds. (2024). MolluscaBase. Astarte esquimalti (Baird, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423165 on 2024-02-21",2024-02-21,WORMS
Astarte undata,wavy astarte,Present,Kachemak_Bay,Species,156747,"A. Gould, 1841",Animalia,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,"MolluscaBase eds. (2024). MolluscaBase. Astarte undata A. Gould, 1841. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156747 on 2024-02-21",2024-02-21,WORMS
Bankia setacea,Feathery shipworm,Present,Kachemak_Bay,Species,527858,"(Tryon, 1863)",Animalia,Mollusca,Bivalvia,Myida,Teredinidae,Bankia,"MolluscaBase eds. (2024). MolluscaBase. Bankia setacea (Tryon, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=527858 on 2024-02-21",2024-02-21,WORMS
Boreotrophon clathratus,Spiny trophon,Present,Kachemak_Bay,Species,146732,"(Linnaeus, 1767)",Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Boreotrophon,"MolluscaBase eds. (2024). MolluscaBase. Boreotrophon clathratus (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146732 on 2024-02-21",2024-02-21,WORMS
Boreotrophon multicostatus,Many-ribbed trophon,Present,Kachemak_Bay,Species,398930,"(Eschscholtz, 1829)",Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Boreotrophon,"MolluscaBase eds. (2024). MolluscaBase. Boreotrophon multicostatus (Eschscholtz, 1829). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=398930 on 2024-02-21",2024-02-21,WORMS
Buccinum glaciale,Glacial whelk,Present,Kachemak_Bay,Species,138864,"Linnaeus, 1761",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,"MolluscaBase eds. (2024). MolluscaBase. Buccinum glaciale Linnaeus, 1761. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138864 on 2024-02-21",2024-02-21,WORMS
Cadlina luteomarginata,Yellow-edged cadlina,Present,Kachemak_Bay,Species,562476,"MacFarland, 1966",Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina,"MolluscaBase eds. (2024). MolluscaBase. Cadlina luteomarginata MacFarland, 1966. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=562476 on 2024-02-21",2024-02-21,WORMS
Calliostoma ligatum,Blue top snail/Ribbed top snail,Present,Kachemak_Bay,Species,580412,"(A. Gould, 1849)",Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,"MolluscaBase eds. (2024). MolluscaBase. Calliostoma ligatum (A. Gould, 1849). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=580412 on 2024-02-21",2024-02-21,WORMS
Chlamys hastata,Spiny scallop/Spear scallop,Present,Kachemak_Bay,Species,367964,"(G. B. Sowerby II, 1842)",Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,"MolluscaBase eds. (2024). MolluscaBase. Chlamys hastata (G. B. Sowerby II, 1842). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=367964 on 2024-02-21",2024-02-21,WORMS
Clinocardium nuttallii,Nuttall's cockle,Present,Kachemak_Bay,Species,381980,"(Conrad, 1837)",Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Clinocardium,"MolluscaBase eds. (2024). MolluscaBase. Clinocardium nuttallii (Conrad, 1837). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=381980 on 2024-02-21",2024-02-21,WORMS
Clione limacina,Orange pteropod/Orange sea angel,Present,Kachemak_Bay,Species,139178,"(Phipps, 1774)",Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,"MolluscaBase eds. (2024). MolluscaBase. Clione limacina (Phipps, 1774). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=139178 on 2024-02-21",2024-02-21,WORMS
Crepidula nummaria,Northern white slipper snail,Present,Kachemak_Bay,Species,572185,"A. Gould, 1846",Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,"MolluscaBase eds. (2024). MolluscaBase. Crepidula nummaria A. Gould, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=572185 on 2024-02-21",2024-02-21,WORMS
Crepidula perforans,Western white slipper snail,Present,Kachemak_Bay,Species,572100,"Valenciennes, 1846",Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,"MolluscaBase eds. (2024). MolluscaBase. Crepidula perforans Valenciennes, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=572100 on 2024-02-21",2024-02-21,WORMS
Cryptochiton stelleri,giant Pacific chiton; gumboot chiton,Present,Kachemak_Bay,Species,240776,"(Middendorff, 1847)",Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,"MolluscaBase eds. (2024). MolluscaBase. Cryptochiton stelleri (Middendorff, 1847). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240776 on 2024-02-21",2024-02-21,WORMS
Cryptonatica affinis,Arctic moon snail,Present,Kachemak_Bay,Species,140525,"(Gmelin, 1791)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Cryptonatica,"MolluscaBase eds. (2024). MolluscaBase. Cryptonatica affinis (Gmelin, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140525 on 2024-02-21",2024-02-21,WORMS
Dendronotus dalli,Dall's dendronotis,Present,Kachemak_Bay,Species,156709,"Bergh, 1879",Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,"MolluscaBase eds. (2024). MolluscaBase. Dendronotus dalli Bergh, 1879. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156709 on 2024-02-21",2024-02-21,WORMS
Dendronotus frondosus,Bushy-backed nudibranch,Present,Kachemak_Bay,Species,139523,"(Ascanius, 1774)",Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,"MolluscaBase eds. (2024). MolluscaBase. Dendronotus frondosus (Ascanius, 1774). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=139523 on 2024-02-21",2024-02-21,WORMS
Dendronotus rufus,Red dendronotis,Present,Kachemak_Bay,Species,548243,"O'Donoghue, 1921",Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,"MolluscaBase eds. (2024). MolluscaBase. Dendronotus rufus O'Donoghue, 1921. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=548243 on 2024-02-21",2024-02-21,WORMS
Diaulula,NA,Present,Kachemak_Bay,Genus,415291,"Bergh, 1878",Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula,"MolluscaBase eds. (2024). MolluscaBase. Diaulula Bergh, 1878. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=415291 on 2024-02-21",2024-02-21,WORMS
Diaulula sandiegensis,Spotted nudibranch,Present,Kachemak_Bay,Species,536817,"(J. G. Cooper, 1863)",Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula,"MolluscaBase eds. (2024). MolluscaBase. Diaulula sandiegensis (J. G. Cooper, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=536817 on 2024-02-21",2024-02-21,WORMS
Diodora,NA,Present,Kachemak_Bay,Genus,138011,"J. E. Gray, 1821",Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,"MolluscaBase eds. (2024). MolluscaBase. Diodora J. E. Gray, 1821. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138011 on 2024-02-21",2024-02-21,WORMS
Diodora aspera,rough keyhole limpet,Present,Kachemak_Bay,Species,367955,"(Rathke, 1833)",Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,"MolluscaBase eds. (2024). MolluscaBase. Diodora aspera (Rathke, 1833). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=367955 on 2024-02-21",2024-02-21,WORMS
Dirona albolineata,White-lined dirona,Present,Kachemak_Bay,Species,581837,"MacFarland, 1905",Animalia,Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona,"MolluscaBase eds. (2024). MolluscaBase. Dirona albolineata MacFarland, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=581837 on 2024-02-21",2024-02-21,WORMS
Dreissena bugensis,Quagga mussels,Potential+Invasive,Kachemak_Bay,Species,505319,"(Andrusov, 1897)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,"MolluscaBase eds. (2024). MolluscaBase. Dreissena bugensis (Andrusov, 1897). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=505319 on 2024-02-21",2024-02-21,WORMS
Dreissena polymorpha,Zebra mussels,Potential+Invasive,Kachemak_Bay,Species,181566,"(Pallas, 1771)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,"MolluscaBase eds. (2024). MolluscaBase. Dreissena polymorpha (Pallas, 1771). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=181566 on 2024-02-21",2024-02-21,WORMS
Eubranchus olivaceus,Balloon aeolis,Present,Kachemak_Bay,Species,156712,"(O'Donoghue, 1922)",Animalia,Mollusca,Gastropoda,Nudibranchia,Eubranchidae,Eubranchus,"MolluscaBase eds. (2024). MolluscaBase. Eubranchus olivaceus (O'Donoghue, 1922). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156712 on 2024-02-21",2024-02-21,WORMS
Fusitriton oregonensis,Oregon hairy triton; Oregon triton,Present,Kachemak_Bay,Species,476496,"(Redfield, 1846)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Cymatiidae,Fusitriton,"MolluscaBase eds. (2024). MolluscaBase. Fusitriton oregonensis (Redfield, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=476496 on 2024-02-21",2024-02-21,WORMS
Gastropteron pacificum,Winged sea slug,Present,Kachemak_Bay,Species,511956,"Bergh, 1894",Animalia,Mollusca,Gastropoda,Cephalaspidea,Gastropteridae,Gastropteron,"MolluscaBase eds. (2024). MolluscaBase. Gastropteron pacificum Bergh, 1894. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=511956 on 2024-02-21",2024-02-21,WORMS
Hermissenda crassicornis,Opalescent nudibranch,Present,Kachemak_Bay,Species,367883,"(Eschscholtz, 1831)",Animalia,Mollusca,Gastropoda,Nudibranchia,Myrrhinidae,Hermissenda,"MolluscaBase eds. (2024). MolluscaBase. Hermissenda crassicornis (Eschscholtz, 1831). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=367883 on 2024-02-21",2024-02-21,WORMS
Hiatella arctica,Arctic hiatella; Arctic rock borer; Arctic saxicave; Nestling clam; red nose; red-nose clam; wrinkled rock borer; wrinkled rockborer,Present,Kachemak_Bay,Species,140103,"(Linnaeus, 1767)",Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,"MolluscaBase eds. (2024). MolluscaBase. Hiatella arctica (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140103 on 2024-02-21",2024-02-21,WORMS
Humilaria kennerleyi,Kennerley's venus,Present,Kachemak_Bay,Species,507686,"(Reeve, 1863)",Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Humilaria,"MolluscaBase eds. (2024). MolluscaBase. Humilaria kennerleyi (Reeve, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=507686 on 2024-02-21",2024-02-21,WORMS
Katharina tunicata,Black leather chiton/Katy's chiton,Present,Kachemak_Bay,Species,386338,"(W. Wood, 1815)",Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,"MolluscaBase eds. (2024). MolluscaBase. Katharina tunicata (W. Wood, 1815). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386338 on 2024-02-21",2024-02-21,WORMS
Lacuna vincta,Chink shell,Present,Kachemak_Bay,Species,140170,"(Montagu, 1803)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,"MolluscaBase eds. (2024). MolluscaBase. Lacuna vincta (Montagu, 1803). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140170 on 2024-02-21",2024-02-21,WORMS
Lepidozona mertensii,Merten's chiton,Present,Kachemak_Bay,Species,386048,"(Middendorff, 1847)",Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,"MolluscaBase eds. (2024). MolluscaBase. Lepidozona mertensii (Middendorff, 1847). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386048 on 2024-02-21",2024-02-21,WORMS
Leptochiton rugatus,Dwarf chiton,Present,Kachemak_Bay,Species,367856,"(P. P. Carpenter, 1892)
",Animalia,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton,"MolluscaBase eds. (2024). MolluscaBase. Leptochiton rugatus (P. P. Carpenter, 1892)
. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=367856 on 2024-02-21",2024-02-21,WORMS
Leukoma staminea,NA,Present,Kachemak_Bay,Species,507737,"(Conrad, 1837)",Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Leukoma,"MolluscaBase eds. (2024). MolluscaBase. Leukoma staminea (Conrad, 1837). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=507737 on 2024-02-21",2024-02-21,WORMS
Lirabuccinum dirum,Dire whelk,Present,Kachemak_Bay,Species,491076,"(Reeve, 1846)",Animalia,Mollusca,Gastropoda,Neogastropoda,Tudiclidae,Lirabuccinum,"MolluscaBase eds. (2024). MolluscaBase. Lirabuccinum dirum (Reeve, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=491076 on 2024-02-21",2024-02-21,WORMS
Littorina scutulata,Checkered periwinkle,Present,Kachemak_Bay,Species,445657,"A. Gould, 1849",Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,"MolluscaBase eds. (2024). MolluscaBase. Littorina scutulata A. Gould, 1849. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=445657 on 2024-02-21",2024-02-21,WORMS
Littorina sitkana,Sitka periwinkle,Present,Kachemak_Bay,Species,445754,"R. A. Philippi, 1846",Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,"MolluscaBase eds. (2024). MolluscaBase. Littorina sitkana R. A. Philippi, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=445754 on 2024-02-21",2024-02-21,WORMS
Lottia,NA,Present,Kachemak_Bay,Genus,160336,"Gray, 1833",Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,"MolluscaBase eds. (2024). MolluscaBase. Lottia Gray, 1833. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=160336 on 2024-02-21",2024-02-21,WORMS
Lottia digitalis,Ribbed limpet,Present,Kachemak_Bay,Species,456588,"(Rathke, 1833)",Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,"MolluscaBase eds. (2024). MolluscaBase. Lottia digitalis (Rathke, 1833). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=456588 on 2024-02-21",2024-02-21,WORMS
Lottia instabilis,Unstable limpet,Present,Kachemak_Bay,Species,510025,"(A. Gould, 1846)",Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,"MolluscaBase eds. (2024). MolluscaBase. Lottia instabilis (A. Gould, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=510025 on 2024-02-21",2024-02-21,WORMS
Lottia pelta,Shield limpet,Present,Kachemak_Bay,Species,456602,"(Rathke, 1833)",Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,"MolluscaBase eds. (2024). MolluscaBase. Lottia pelta (Rathke, 1833). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=456602 on 2024-02-21",2024-02-21,WORMS
Macoma balthica,Baltic macoma; Baltic tellin,Present,Kachemak_Bay,Species,141579,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,"MolluscaBase eds. (2024). MolluscaBase. Macoma balthica (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141579 on 2024-02-21",2024-02-21,WORMS
Macoma calcarea,chalky macoma,Present,Kachemak_Bay,Species,141580,"(Gmelin, 1791)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,"MolluscaBase eds. (2024). MolluscaBase. Macoma calcarea (Gmelin, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141580 on 2024-02-21",2024-02-21,WORMS
Macoma inquinata,Stained macoma,Present,Kachemak_Bay,Species,582759,"(Deshayes, 1855)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,"MolluscaBase eds. (2024). MolluscaBase. Macoma inquinata (Deshayes, 1855). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582759 on 2024-02-21",2024-02-21,WORMS
Macoma nasuta,Bent-nosed macoma,Present,Kachemak_Bay,Species,582761,"(Conrad, 1837)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,"MolluscaBase eds. (2024). MolluscaBase. Macoma nasuta (Conrad, 1837). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582761 on 2024-02-21",2024-02-21,WORMS
Macoma obliqua,Oblique macoma,Present,Kachemak_Bay,Species,423498,"(J. Sowerby, 1817)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,"MolluscaBase eds. (2024). MolluscaBase. Macoma obliqua (J. Sowerby, 1817)&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423498 on 2024-02-21",2024-02-21,WORMS
Mactromeris polynyma,Pacific surf clam/Pink-necked clam,Present,Kachemak_Bay,Species,156863,"(W. Stimpson, 1860)",Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactromeris,"MolluscaBase eds. (2024). MolluscaBase. Mactromeris polynyma (W. Stimpson, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156863 on 2024-02-21",2024-02-21,WORMS
Margarites helicinus,Helicine's margarite,Present,Kachemak_Bay,Species,141821,"(Phipps, 1774)",Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,"MolluscaBase eds. (2024). MolluscaBase. Margarites helicinus (Phipps, 1774). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141821 on 2024-02-21",2024-02-21,WORMS
