Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Macoma spp,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mactromeris polynyma,Pacific surf clam/Pink-necked clam,Present,Kachemak_Bay,Species,156863,"(W. Stimpson, 1860)",Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactromeris,"MolluscaBase eds. (2024). MolluscaBase. Mactromeris polynyma (W. Stimpson, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156863 on 2024-02-21",2024-02-21,WORMS
Magelona sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magpie Pica pica,Black-billed,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maianthemum dilatatum,False lily-of-the-valley,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maldanidae, unid.",NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallotus villosus,Capelin/Grunion/Candlefish,Present,Kachemak_Bay,Species,126735,"(Müller, 1776)",Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Mallotus villosus (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126735 on 2024-02-21",2024-02-21,WORMS
Malus fusca,Oregon crab apple,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Margarites helicinus,Helicine's margarite,Present,Kachemak_Bay,Species,141821,"(Phipps, 1774)",Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,"MolluscaBase eds. (2024). MolluscaBase. Margarites helicinus (Phipps, 1774). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141821 on 2024-02-21",2024-02-21,WORMS
Margarites pupilius,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Margarites pupillus,Puppet margarite,Present,Kachemak_Bay,Species,528731,"(A. Gould, 1849)",Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,"MolluscaBase eds. (2024). MolluscaBase. Margarites pupillus (A. Gould, 1849). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=528731 on 2024-02-21",2024-02-21,WORMS
Marmota caligata,Hoary Marmot,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martes americana,Marten,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastocarpus papillatus,Turkish Washcloth/Tar Spot/Grapestone/Sea Tar/Sea Film,Present,Kachemak_Bay,Species,163258,"(C.Agardh) Kützing, 1843",Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mastocarpus papillatus (C.Agardh) Kützing, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=163258 on 2024-02-21",2024-02-21,WORMS
Matricaria discoidea,Pineapple weed/Disc mayweed,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matteuccia struthiopteris,Ostrich fern,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mazzaella,NA,Present,Kachemak_Bay,Genus,369878,"G. De Toni, 1936",Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mazzaella G. De Toni, 1936. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=369878 on 2024-02-21",2024-02-21,WORMS
Mazzaella oregona,Northern Mazza Weed,Present,Kachemak_Bay,Species,376274,"(Doty) Hughey, P.C.Silva & Hommersand, 2001",Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mazzaella oregona (Doty) Hughey, P.C.Silva & Hommersand, 2001. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376274 on 2024-02-21",2024-02-21,WORMS
Mazzaella parksii,Iridescent Horn-of-Plenty,Present,Kachemak_Bay,Species,376220,"(Setchell & N.L.Gardner) Hughey, P.C.Silva & Hommersand, 2001",Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mazzaella parksii (Setchell & N.L.Gardner) Hughey, P.C.Silva & Hommersand, 2001. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376220 on 2024-02-21",2024-02-21,WORMS
Megaptera novaeangliae,Humpback Whale,Present,Kachemak_Bay,Species,137092,"(Borowski, 1781)",Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,"Fordyce, E.; Perrin, W.F. (2024). World Cetacea Database. Megaptera novaeangliae (Borowski, 1781). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137092 on 2024-02-21",2024-02-21,WORMS
Melanitta fusca,White-winged Scoter,Present,Kachemak_Bay,Species,137072,"(Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,"WoRMS (2024). Melanitta fusca (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137072 on 2024-02-21",2024-02-21,WORMS
Melanitta nigra,Black Scoter,Present,Kachemak_Bay,Species,137073,"(Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,"WoRMS (2024). Melanitta nigra (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137073 on 2024-02-21",2024-02-21,WORMS
Melanitta perspicillata,Surf Scoter,Present,Kachemak_Bay,Species,159095,"(Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,"WoRMS (2024). Melanitta perspicillata (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159095 on 2024-02-21",2024-02-21,WORMS
Melanochlamys diomedea,NA,Present,Kachemak_Bay,Species,576296,"(Bergh, 1894)",Animalia,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Melanochlamys,"MolluscaBase eds. (2024). MolluscaBase. Melanochlamys diomedea (Bergh, 1894). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=576296 on 2024-02-21",2024-02-21,WORMS
Melanosiphon intestinalis,Dark Sea Tubes,Present,Kachemak_Bay,Species,157151,"(De A.Saunders) M.J.Wynne, 1969",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Melanosiphon,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Melanosiphon intestinalis (De A.Saunders) M.J.Wynne, 1969. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157151 on 2024-02-21",2024-02-21,WORMS
Melanospihon intestinale,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melibe leonina,lion nudibranch,Present,Kachemak_Bay,Species,575441,"(A. Gould, 1852)",Animalia,Mollusca,Gastropoda,Nudibranchia,Tethydidae,Melibe,"MolluscaBase eds. (2024). MolluscaBase. Melibe leonina (A. Gould, 1852). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=575441 on 2024-02-21",2024-02-21,WORMS
Melospiza lincolnii,Lincoln’s Sparrow,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melospiza melodia,Song Sparrow,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Membranipora membranacea,lacy crust bryozoan; sea mat; sea-mat,Present,Kachemak_Bay,Species,111411,"(Linnaeus, 1767)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,"Bock, P. (2024). World List of Bryozoa. Membranipora membranacea (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=111411 on 2024-02-21",2024-02-21,WORMS
Membranoptera spinulosa,NA,Present,Kachemak_Bay,Species,372431,"(Ruprecht) Kuntze, 1891",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Membranoptera,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Membranoptera spinulosa (Ruprecht) Kuntze, 1891. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372431 on 2024-02-21",2024-02-21,WORMS
Membranoptera weeksiae,NA,Present,Kachemak_Bay,Species,372607,"Setchell & N.L.Gardner, 1926",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Membranoptera,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Membranoptera weeksiae Setchell & N.L.Gardner, 1926. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372607 on 2024-02-21",2024-02-21,WORMS
Menyanthes trifoliata,Buckbean/Bogbean,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menziesia ferruginea,False azalea/Rusty menzesia,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mergus merganser,Common Merganser,Present,Kachemak_Bay,Species,159097,"Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,"WoRMS (2024). Mergus merganser Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159097 on 2024-02-21",2024-02-21,WORMS
Mergus serrator,Red-breasted Merganser,Present,Kachemak_Bay,Species,159098,"Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,"WoRMS (2024). Mergus serrator Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159098 on 2024-02-21",2024-02-21,WORMS
Mertensia maritima,Oysterleaf/Sea Lungwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mertensia paniculata,Tall bluebells/Lungwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesophyllum lamellatum,Coralline Crust,Present,Kachemak_Bay,Species,372609,"(Setchell & Foslie) W.H.Adey, 1970",Plantae,Rhodophyta,Florideophyceae,Hapalidiales,Mesophyllumaceae,Mesophyllum,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mesophyllum lamellatum (Setchell & Foslie) W.H.Adey, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372609 on 2024-02-21",2024-02-21,WORMS
Metandrocarpa taylori,Red sea buttons,Present,Kachemak_Bay,Species,250836,"Huntsman, 1912",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Metandrocarpa,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2024). Ascidiacea World Database. Metandrocarpa taylori Huntsman, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=250836 on 2024-02-21",2024-02-21,WORMS
Metridium senile,brown sea anemone; clonal plumose anemone; cloned plumose anemone; frilled anemone; frilled sea anemone; plumose anemone; plumose sea anemone,Present,Kachemak_Bay,Species,100982,"(Linnaeus, 1761)",Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Metridium senile (Linnaeus, 1761). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100982 on 2024-02-21",2024-02-21,WORMS
Microgadus proximus,Pacific tomcod/Tomcod,Present,Kachemak_Bay,Species,275873,"(Girard, 1854)",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Microgadus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Microgadus proximus (Girard, 1854). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275873 on 2024-02-21",2024-02-21,WORMS
Microstomus pacificus,Dover sole/Slime sole,Present,Kachemak_Bay,Species,274294,"(Lockington, 1879)",Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Microstomus pacificus (Lockington, 1879). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274294 on 2024-02-21",2024-02-21,WORMS
Microtus miurus,Singing Vole,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microtus oeconomus,Tundra Vole,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microtus pennsylvanicus,Meadow Vole,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mikamiella,NA,Present,Kachemak_Bay,Genus,369907,"M.J.Wynne, 1977",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Mikamiella,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Mikamiella M.J.Wynne, 1977. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=369907 on 2024-02-21",2024-02-21,WORMS
Mimulus guttatus,Yellow monkeyflower/Seep monkeyflower,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minuartia arctica,Arctic stitchwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minuartia macrocarpa,Sandwort/Longpod stitchwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minuartia obtusiloba,Twinflower sandwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minuartia rubella,Boreal sandwort/Reddish sandwort/Beautiful sandwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minuartia spp.,Stitchwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitella pentandra,Five-stamened mitrewort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modiolus modiolus,horse mussel; horse-mussel; Northern horse mussel; northern horsemussel,Present,Kachemak_Bay,Species,140467,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,"MolluscaBase eds. (2024). MolluscaBase. Modiolus modiolus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140467 on 2024-02-21",2024-02-21,WORMS
Moehringia lateriflora,Grove sandwort/Blunt-leaved sandwort/Bluntleaf sandwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molothrus ater,Brown-headed Cowbird,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molpadia intermedia,Sweet potato sea cucumber,Present,Kachemak_Bay,Species,529545,"(Ludwig, 1893)",Animalia,Echinodermata,Holothuroidea,Molpadida,Molpadiidae,Molpadia,"WoRMS (2024). Molpadia intermedia (Ludwig, 1893). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=529545 on 2024-02-21",2024-02-21,WORMS
Moneses uniflora,Shy maiden/Single delight,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monostramata fuscum,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monostramata oxsperum,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monostroma grevillei,Sea Cellophane,Present,Kachemak_Bay,Species,145940,"(Thuret) Wittrock, 1866",Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Monostromataceae,Monostroma,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Monostroma grevillei (Thuret) Wittrock, 1866. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145940 on 2024-02-21",2024-02-21,WORMS
Monostromata fuscum,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monostromata oxsperum,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montia chamissoi,Chamisso's spring beauty/Chamisso's montia/Water miners lettuce,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montia fontana,Water blinks/Annual water miners lettuce,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mopalia,NA,Present,Kachemak_Bay,Genus,385567,"Gray, 1847",Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,"MolluscaBase eds. (2024). MolluscaBase. Mopalia Gray, 1847. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=385567 on 2024-02-21",2024-02-21,WORMS
Mopalia ciliata,hairy chiton; hairy mopalia,Present,Kachemak_Bay,Species,386342,"(G. B. Sowerby II, 1840)",Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,"MolluscaBase eds. (2024). MolluscaBase. Mopalia ciliata (G. B. Sowerby II, 1840). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386342 on 2024-02-21",2024-02-21,WORMS
Mopalia lignosa,woody chiton; woody mopalia,Present,Kachemak_Bay,Species,386349,"(A. Gould, 1846)",Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,"MolluscaBase eds. (2024). MolluscaBase. Mopalia lignosa (A. Gould, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386349 on 2024-02-21",2024-02-21,WORMS
Mopalia muscosa,mossy chiton; mossy mopalia,Present,Kachemak_Bay,Species,386353,"(A. Gould, 1846)",Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,"MolluscaBase eds. (2024). MolluscaBase. Mopalia muscosa (A. Gould, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386353 on 2024-02-21",2024-02-21,WORMS
Moridae spp.,Unidentified codlings,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motacilla flava,Yellow Wagtail,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motacilla lugens,Black-backed Wagtail,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mountain Artemisia arctica,Arctic wormwood/sagwort/Boreal sagebrush,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus musculus,House Mouse,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Musculus discors,discordant mussel; Green crenell; green crenella,Present,Kachemak_Bay,Species,140472,"(Linnaeus, 1767)",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,"MolluscaBase eds. (2024). MolluscaBase. Musculus discors (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140472 on 2024-02-21",2024-02-21,WORMS
Musculus niger,Black mussel,Present,Kachemak_Bay,Species,140474,"(J. E. Gray, 1824)",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,"MolluscaBase eds. (2024). MolluscaBase. Musculus niger (J. E. Gray, 1824). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140474 on 2024-02-21",2024-02-21,WORMS
Mustela erminea,Short-tail Weasel/Ermine,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela vison,Mink,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mya arenaria,large-neck clam; long necked clam; Manila clam; sand gaper; Smooth butter clam; softshell; softshell clam; soft-shelled clam; steamer; steamer clam,Present,Kachemak_Bay,Species,140430,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,"MolluscaBase eds. (2024). MolluscaBase. Mya arenaria Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140430 on 2024-02-21",2024-02-21,WORMS
Mya baxteri,Deep soft-shelled clam/Deep softshell,Present,Kachemak_Bay,Species,505900,"Coan & Valentich-Scott, 1997",Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,"MolluscaBase eds. (2024). MolluscaBase. Mya baxteri Coan & Valentich-Scott, 1997. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=505900 on 2024-02-21",2024-02-21,WORMS
Mya pseudoarenaria,Northern soft-shelled clam,Present,Kachemak_Bay,Species,156249,"Schlesch, 1931",Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,"MolluscaBase eds. (2024). MolluscaBase. Mya pseudoarenaria Schlesch, 1931. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156249 on 2024-02-21",2024-02-21,WORMS
Mya sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mya spp,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mya truncata,blunt gaper; blunt gaper clam; clam; Soft-shelled clam; truncate softshell; truncate softshell clam,Present,Kachemak_Bay,Species,140431,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,"MolluscaBase eds. (2024). MolluscaBase. Mya truncata Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140431 on 2024-02-21",2024-02-21,WORMS
Myadestes townsendi,Townsend’s Solitaire,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis asiatica,Alpine forget-me-not/Asian forget-me-not,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myotis lucifugus,Little Brown Bat,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoxocephalus spp.,Sculpin,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrica gale,Sweet gale,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myriozoum subgracile,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mysella planata,NA,Present,Kachemak_Bay,Species,423546,"(Dall, 1885)",Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Mysella,"MolluscaBase eds. (2024). MolluscaBase. Mysella planata (Dall, 1885). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423546 on 2024-02-21",2024-02-21,WORMS
Mysidacea unid.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mysidacea, unid.",NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus californianus,California mussel,Present,Kachemak_Bay,Species,367837,"Conrad, 1837",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,"MolluscaBase eds. (2024). MolluscaBase. Mytilus californianus Conrad, 1837. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=367837 on 2024-02-21",2024-02-21,WORMS
Mytilus trossulus,foolish mussel; northern bay mussel; Northern blue mussel; Pacific blue mussel,Present,Kachemak_Bay,Species,140482,"A. Gould, 1850",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,"MolluscaBase eds. (2024). MolluscaBase. Mytilus trossulus A. Gould, 1850. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140482 on 2024-02-21",2024-02-21,WORMS
Myxicola infludibulum,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Natica lutica,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nautichthys oculofasciatus,Sailfin sculpin,Present,Kachemak_Bay,Species,254542,"(Girard, 1858)",Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Nautichthys,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Nautichthys oculofasciatus (Girard, 1858). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254542 on 2024-02-21",2024-02-21,WORMS
Nautichthys pribilovius,Eyeshade sculpin,Present,Kachemak_Bay,Species,254543,"(Jordan & Gilbert, 1898)",Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Nautichthys,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Nautichthys pribilovius (Jordan & Gilbert, 1898). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254543 on 2024-02-21",2024-02-21,WORMS
Neaeromya compressa,NA,Present,Kachemak_Bay,Species,423550,"(Dall, 1899)",Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Neaeromya,"MolluscaBase eds. (2024). MolluscaBase. Neaeromya compressa (Dall, 1899). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423550 on 2024-02-21",2024-02-21,WORMS
